"","stredisko","funkcia","hod","fte"
"659",331,"L",142.666666666667,0.82
"660",331,"ZF",128.083333333333,0.74
"661",332,"F",247.333333333333,1.42
"662",332,"L",152.458333333333,0.88
"663",332,"ZF",148.333333333333,0.85
"664",333,"F",14.6666666666667,0.08
"665",333,"L",30.6666666666667,0.18
"666",333,"ZF",138.5,0.8
"667",334,"F",465.75,2.68
"668",334,"L",433.125,2.49
"669",334,"ZF",145.083333333333,0.83
"670",335,"F",391.833333333333,2.25
"671",335,"L",313.583333333333,1.8
"672",335,"ZF",138.666666666667,0.8
"673",336,"F",124.395833333333,0.71
"674",336,"L",167.333333333333,0.96
"675",336,"ZF",144.25,0.83
"676",337,"F",47,0.27
"677",337,"L",151.666666666667,0.87
"678",337,"ZF",143.375,0.82
"679",338,"F",149.708333333333,0.86
"680",338,"L",38.6666666666667,0.22
"681",338,"ZF",37.1666666666667,0.21
"682",340,"F",151.666666666667,0.87
"683",340,"L",203,1.17
"684",340,"ZF",114.666666666667,0.66
"685",341,"ZF",151,0.87
"686",342,"L",146.5,0.84
"687",342,"ZF",133.916666666667,0.77
"688",343,"F",102.375,0.59
"689",343,"L",98.7083333333333,0.57
"690",343,"ZF",103.041666666667,0.59
"691",347,"F",301.291666666667,1.73
"692",347,"ZF",153.666666666667,0.88
"693",349,"F",177.5,1.02
"694",349,"L",339.666666666667,1.95
"695",349,"ZF",124.166666666667,0.71
"696",350,"F",153.083333333333,0.88
"697",350,"ZF",131.916666666667,0.76
"698",351,"F",214.916666666667,1.24
"699",351,"L",232.583333333333,1.34
"700",351,"ZF",15.6666666666667,0.09
"701",352,"F",41.8333333333333,0.24
"702",352,"L",134.145833333333,0.77
"703",352,"ZF",97.5,0.56
"704",354,"L",52.6666666666667,0.3
"705",354,"ZF",58.9583333333333,0.34
"706",355,"L",132.666666666667,0.76
"707",355,"ZF",71.8333333333333,0.41
"708",356,"F",86.6666666666667,0.5
"709",356,"L",99.3333333333333,0.57
"710",356,"ZF",15,0.09
"711",359,"F",56.125,0.32
"712",359,"ZF",12.6666666666667,0.07
"713",360,"F",80.9166666666667,0.47
"714",360,"L",53.125,0.31
"715",360,"ZF",26.375,0.15
"716",362,"F",22.3333333333333,0.13
"717",362,"ZF",23.1666666666667,0.13
"718",366,"F",265.5,1.53
"719",366,"ZF",135,0.78
"720",368,"F",229.041666666667,1.32
"721",368,"L",165.125,0.95
"722",368,"ZF",125.458333333333,0.72
"723",371,"ZF",152.333333333333,0.88
"724",373,"F",277.25,1.59
"725",373,"ZF",49.1041666666667,0.28
"726",378,"F",133.729166666667,0.77
"727",378,"L",104.875,0.6
"728",378,"ZF",141.083333333333,0.81
"729",427,"F",155.375,0.89
"730",427,"L",272,1.56
"731",427,"ZF",34.25,0.2
"732",451,"L",148,0.85
"733",451,"ZF",145.291666666667,0.84
