"","id","ZF","F","L"
"82",96,1.16666666666667,0.333333333333333,1.04166666666667
"83",97,1,3.91666666666667,3
"84",98,1,3,1
"85",99,0.13,1,0.833333333333333
"86",100,1,NA,NA
"87",101,0.75,0.166666666666667,1
"88",102,1,3.33333333333333,NA
"89",103,1,1.5,NA
"90",104,1,2.58333333333333,2.08333333333333
"91",105,0.25,1.58333333333333,2
"92",106,1,1,NA
"93",107,0.358333333333333,3.875,3.125
"94",109,1,NA,1
"95",110,0.75,1,2
"96",111,1,1.66666666666667,0.25
"97",112,1.25,2,1
"98",113,0.793333333333333,0.75,1
"99",126,1,1.04166666666667,2
"100",127,1,1.58333333333333,2
"101",129,1,1,2
"102",130,1,0.25,1.25
"103",131,1,1.81,2
"104",132,1,2,2
"105",134,1,0.5,1
"106",135,1,0.5,1
"107",136,1,2.91666666666667,4.08333333333333
"108",138,1,1,1
