id,kme_ov’,nepr’tomnos_,z‡stup,,zastup_perc
635,4.894157088,0.723180077,0.102011494,,0.020843527
637,0.661398467,0.048371648,0.36039272,,0.544895004
638,2.239942529,0.339559387,0.058189655,,0.025978191
639,4.10440613,0.733237548,0.042624521,,0.010385064
649,2.459770115,0.409961686,0.0651341,,0.026479751
661,1.580100575,0.327466475,0.286877395,,0.181556414
662,1.728448276,0.310344828,0.260536398,,0.150734275
663,0.840756705,0.129310345,0.118414751,,0.140843065
664,3.244731801,0.983716475,0.076867816,,0.023690037
,1 066,214,66,,
,,20.1%,6.2%,,
