id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
466,"Dubnica nV, poliklinika",1.72,0.81,0.78,3.31,1.65,0.8,0.76,3.22,0.44,0.07,0.01,0.02,0.1
467,Bánovce nad Bebravou,1.02,1.7,0.8,3.53,1.14,1.71,0.81,3.66,0.44,-0.11,-0.01,-0.01,-0.14
469,"Trenčín, OC Južanka",1.12,1.62,0.81,3.54,1.17,1.66,0.82,3.64,0.66,-0.05,-0.04,-0.01,-0.1
470,"Veľký Krtíš, poliklinika",1.82,0.98,0.9,3.69,1.73,0.99,0.69,3.41,1.4,0.09,-0.01,0.21,0.28
471,Snina,0.78,0.73,0.62,2.13,0.89,0.77,0.63,2.28,0.74,-0.11,-0.03,-0.01,-0.15
474,"Martin, Imelo",1.65,1.49,0.78,3.93,1.67,1.51,0.78,3.95,0.83,-0.02,-0.01,0.01,-0.02
501,"Nové Mesto nV, nemocnica",1.41,1.61,0.74,3.76,1.39,1.63,0.74,3.77,0.7,0.01,-0.02,-0.0,-0.01
502,"Pov. Bystrica, poliklinika 1",2.01,0.0,0.8,2.81,2.02,0.01,0.81,2.84,0.53,-0.01,-0.01,-0.01,-0.03
503,,0.78,0.8,0.84,2.43,,,,,,,,,
504,"Trenčín, Špitálska",1.72,0.7,0.76,3.18,1.73,0.71,0.78,3.21,1.15,-0.01,-0.01,-0.01,-0.03
505,"Stará Turá, poliklinika",1.55,0.82,0.82,3.18,1.55,0.83,0.83,3.21,0.52,0.0,-0.01,-0.02,-0.03
506,"Myjava, Staromyjavská",0.0,0.83,0.85,1.68,0.04,0.91,0.91,1.86,0.23,-0.04,-0.09,-0.05,-0.18
511,"Stará Turá, Na Stanici",0.53,0.8,0.52,1.84,0.59,0.87,0.53,1.98,0.34,-0.06,-0.07,-0.01,-0.14
515,"Nitra, Viola",2.09,1.6,0.79,4.48,2.07,1.62,0.8,4.5,1.15,0.02,-0.02,-0.01,-0.02
516,Liptovský Hrádok,1.69,1.67,0.8,4.16,1.72,1.7,0.79,4.21,0.58,-0.02,-0.03,0.0,-0.05
518,Dolný Kubín,2.28,1.57,0.8,4.65,2.15,1.55,0.8,4.5,1.17,0.13,0.02,0.0,0.15
520,,0.0,0.55,0.6,1.15,,,,,,,,,
523,"Košice, voj.nemocnica",0.43,0.92,0.65,2.0,0.57,0.78,0.65,2.01,1.01,-0.14,0.14,-0.01,-0.01
